"CONTENT_ID","DO_NM","FACLT_DIV_NM","FACLT_NM","INDUTY","LCT_CL","MANAGE_STTUS","OPER_PD_CL","ROOM_COUNT","SBRS_CL","SIGUNGU_NM","SITE_BOTTOM_CL1","SITE_BOTTOM_CL2","SITE_BOTTOM_CL3","SITE_BOTTOM_CL4","SITE_BOTTOM_CL5"
100061,"충청남도","민간","서리실 힐링 가족캠핑장","일반야영장","","운영","봄,여름,가을,겨울","17","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","천안시","0","5","12","0","0"
100062,"전라북도","민간","하늘땅카라반","카라반","숲,계곡","운영","봄,가을,겨울","6","전기,무선인터넷,온수,물놀이장,놀이터","무주군","0","0","0","0","0"
100064,"경상남도","민간","노랑카라반","카라반","해변","운영","봄,여름,가을,겨울","12","전기,무선인터넷,온수,물놀이장,놀이터,운동시설","남해군","0","0","0","0","0"
100065,"경기도","민간","세움내움","일반야영장,자동차야영장","숲","운영","봄,여름,가을,겨울","17","전기,장작판매,온수","양평군","0","2","7","0","7"
100066,"경기도","","포천 글램파크 캠핑장","일반야영장","","운영","봄,여름,가을,겨울","0","","포천시","0","0","0","0","0"
100067,"강원도","민간","화천드림캠핑장","일반야영장","산","운영","봄,여름,가을","13","전기,무선인터넷,장작판매,온수","화천군","0","8","5","0","0"
100068,"강원도","민간","담터오지글램핑","일반야영장,글램핑","","운영","봄,여름,가을","1","전기,무선인터넷,장작판매,온수","철원군","0","0","0","0","0"
100069,"경기도","민간","메이플글램핑&카라반","카라반,글램핑","산","운영","봄,여름,가을","12","전기,무선인터넷,장작판매,온수","포천시","0","0","0","0","0"
100070,"충청남도","민간","신두57캠핑&글램핑","일반야영장,글램핑","해변","운영","봄,여름,가을,겨울","127","전기,무선인터넷,장작판매,온수,마트.편의점","태안군","0","102","0","0","0"
100071,"경기도","민간","민트글램핑","일반야영장,글램핑","숲","운영","봄,여름,가을,겨울","28","전기,무선인터넷,장작판매,온수","포천시","0","0","0","0","0"
100072,"충청북도","민간","에프앤에프캠핑","자동차야영장","산","운영","봄,여름,가을,겨울","16","전기,장작판매,온수,트렘폴린,물놀이장,놀이터,운동장,운동시설","제천시","0","16","0","0","0"
100073,"충청북도","민간","카이로스오토야영장","일반야영장","산","운영","봄,여름,가을,겨울","29","전기,무선인터넷,장작판매,온수,놀이터,운동시설","충주시","0","29","0","0","0"
100074,"충청남도","민간","한마음캠핑플레이스","카라반,글램핑","숲","운영","봄,여름,가을,겨울","32","전기,무선인터넷,온수,물놀이장,놀이터,운동시설","금산군","0","0","0","0","0"
100075,"경상남도","민간","남해금산오토캠핑장","일반야영장","섬,산,계곡","운영","봄,여름,가을,겨울","30","전기,무선인터넷,장작판매,놀이터,산책로","남해군","0","35","0","0","0"
100076,"경상북도","민간","알로프랑스","자동차야영장","숲","운영","봄,여름,가을,겨울","32","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","김천시","3","0","0","29","0"
100077,"경기도","민간","야한 캠핑장","일반야영장","산","운영","봄,여름,가을,겨울","8","전기,무선인터넷,장작판매,온수","이천시","0","8","0","0","0"
100078,"강원도","민간","소노팜","자동차야영장","강","운영","봄,여름,가을,겨울","10","전기,무선인터넷,장작판매,온수,운동시설","홍천군","0","10","0","0","0"
100080,"강원도","민간","홍천 반딧불캠핑장","자동차야영장","계곡","운영","봄,여름,가을,겨울","8","전기,무선인터넷,장작판매,온수,운동시설","홍천군","0","8","0","0","0"
