"facltNm","contentId","manageSttus","induty","lctCl","doNm","sigunguNm","operPdCl","sbrsCl","facltDivNm","siteBottomCl1","siteBottomCl2","siteBottomCl3","siteBottomCl4","siteBottomCl5","roomCount"
"팡팡캠핑장","7220","운영","일반야영장,자동차야영장","산,숲","경기도","용인시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,놀이터,운동시설","민간","0","11","0","0","0","22"
"포시즌","7222","운영","자동차야영장","","충청북도","단양군","","","민간","0","0","0","0","0","0"
"포시즌캠핑장","7223","운영","일반야영장","계곡","경기도","가평군","봄,여름,가을","전기,무선인터넷,온수,트렘폴린","민간","0","0","13","0","0","13"
"포시즌 캠핑장","7224","운영","일반야영장,카라반,글램핑","숲","경기도","가평군","봄,여름,가을,겨울","놀이터,운동장,마트.편의점","민간","0","0","0","0","0","14"
"플라워 카라반 펜션","7226","운영","일반야영장,카라반","계곡","경기도","양평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,마트.편의점","","0","0","3","0","0","9"
"플로렌스 글램핑 & 캠핑","7227","운영","자동차야영장,글램핑","산,숲,계곡,강","경기도","가평군","봄,여름,가을","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동시설","민간","0","30","30","0","0","30"
"존제산 하느제 캠핑장","7228","운영","일반야영장","산,계곡","전라남도","보성군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","민간","0","21","21","0","0","42"
"가평설악 하늘계곡 캠핑장","7229","운영","일반야영장,자동차야영장","산,숲,계곡","경기도","가평군","봄,여름,가을","전기,무선인터넷,장작판매,온수,물놀이장","민간","0","42","0","0","0","60"
"하늘땅별땅 캠핑장","7230","운영","일반야영장,자동차야영장","산,숲,계곡","경기도","가평군","봄,여름,가을","전기,무선인터넷,장작판매,온수,운동시설","민간","0","20","0","0","0","40"
"홀리데이캠핑장","7233","운영","일반야영장,자동차야영장","산,숲,계곡","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,놀이터,운동장,운동시설","민간","0","20","0","0","0","40"
"화야 캠핑장","7234","운영","일반야영장","산,숲,계곡","경기도","가평군","봄,여름,가을","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","민간","0","23","5","0","0","23"
"후평숲캠핑장","7235","운영","일반야영장","","충청북도","괴산군","봄,여름,가을,겨울","","민간","0","0","0","0","0","0"
"휴앤락캠핑장","7236","운영","일반야영장","숲","경상북도","경주시","봄,여름,가을,겨울","전기,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","민간","0","0","0","64","0","64"
"힐링가평오토캠핑장","7237","운영","자동차야영장,글램핑","산,숲,계곡,강","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,운동시설","민간","0","35","3","0","0","45"
"더포레스트 연지곤지점","7241","운영","일반야영장,글램핑","","경기도","광주시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,마트.편의점","민간","0","0","0","0","0","0"
"솔내음 캠핑장","7245","운영","일반야영장","계곡","전라북도","무주군","봄,여름,가을,겨울","","민간","0","0","0","0","0","0"
"계곡과느티나무 캠핑장","7246","운영","일반야영장","","경기도","포천시","봄,여름,가을,겨울","","민간","0","0","0","0","0","20"
"청포대숲속야영장","7247","운영","일반야영장","","충청남도","태안군","봄,여름,가을,겨울","","민간","0","0","0","0","0","9"
"통영 편백숲길관광농원 캠핑장","7248","운영","일반야영장,글램핑","해변,숲","경상남도","통영시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,산책로,마트.편의점","민간","0","0","0","0","0","9"
"괴강관광농원 ","7249","운영","일반야영장,자동차야영장,카라반","강","충청북도","괴산군","봄,여름,가을,겨울","전기,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","민간","0","0","0","0","0","31"
